,generic,congruent,incongruent,implausible
59402f40e9b44100013b1789,1.0,1.0,1.0,1.0
59de425bbe399f0001e4975e,1.0,1.0,1.0,1.0
5b6baad47e435d0001c1c88f,1.0,1.0,0.8726570920065974,1.0
5b74413e722bd2000195c067,1.0,1.0,1.0,0.9264785377906193
5ba4d6c929629d00014e6c28,1.0,1.0,1.0,1.0
5badf0aeae1d020001df2cc7,1.0,1.0,0.9216739550012043,1.0
5c6d938c79151c00017c7560,1.0,1.0,1.0,1.0
5c74f0d525c76b0010706736,1.0,1.0,1.0,1.0
5c9124ef3b7f9e0013728485,1.0,1.0,1.0,1.0
5cae09506d573900175d4727,1.0,1.0,1.0,1.0
5cb304b63742a400153b756d,1.0,1.0,1.0,1.0
5ccc758ab11510001584a1af,1.0,1.0,1.0,1.0
5cd98287b0c5ec0001e0965a,1.0,1.0,1.0,1.0
5cdeaeb3557fbd00018a2c59,1.0,1.0,1.0,1.0
5cf92c7255e1370001e54adb,1.0,1.0,0.9216739550012043,1.0
5d29fbc8f91bdd0016e98503,1.0,1.0,1.0,1.0
5d36ff998129260015c6de19,1.0,1.0,1.0,1.0
5d6e3252dfe6d10001dbe508,1.0,1.0,1.0,1.0
5d94c6f5dc0b0e001465072e,1.0,1.0,1.0,1.0
5da60411423c170017b7dc0f,1.0,1.0,1.0,1.0
5dc56fbac34fc53e4e78b820,1.0,1.0,1.0,1.0
5e29e902c2253a0587298e26,1.0,1.0,1.0,1.0
5e5eb4843accc91e2443212f,1.0,1.0,0.9221501055838477,1.0
5e87a0b5fc57a7415442f97e,1.0,1.0,1.0,1.0
5e9948b69223aa17c21564f4,1.0,1.0,1.0,1.0
5e99e838545b26058749d068,1.0,1.0,1.0,1.0
5ecba4b6ef75d53505406d57,1.0,1.0,1.0,0.8984653834866381
5ecd7b06a1a9170e7806f51e,1.0,1.0,1.0,1.0
5ed8be74a4175a01156004b0,1.0,1.0,1.0,0.9282041841382261
5edaa4924ea9bd6f14f3d618,1.0,1.0,1.0,1.0
5edbaae1b9f9f68349ce80f3,1.0,1.0,1.0,1.0
5ef109c89196fa6d5cf6c005,1.0,1.0,1.0,1.0
5ef8a0b375e30603ebc12510,1.0,1.0,1.0,1.0
5f1b69a1459c1e0009a83009,1.0,1.0,1.0,1.0
5f2dbc04160a0f0d88ee4440,1.0,1.0,1.0,0.9264785377906193
5f31671e69023f000b0c0547,1.0,1.0,1.0,1.0
5f3c2701fa55251a108b07e6,1.0,0.9221501055838477,1.0,1.0
5f64b5eed3b0d9015f58920c,1.0,1.0,1.0,1.0
5f6875b05e3bc74d0dee825e,1.0,1.0,1.0,1.0
5f6a7d0d9d705213a0db27e2,1.0,1.0,1.0,1.0
5f75cc1fb0741626d6634281,1.0,1.0,1.0,1.0
5f7728b294840b203855824d,1.0,1.0,1.0,1.0
5f91ad02439b5e04b51d69a0,1.0,1.0,1.0,1.0
5f958e181381b5079be5d02f,1.0,0.8817375208021835,1.0,1.0
5f9a893d999ea71a0c6c4851,1.0,1.0,1.0,1.0
5fa01b6003aed3026366571c,1.0,1.0,0.8726570920065974,1.0
5fa91c5d816c5c831297d606,1.0,1.0,1.0,0.8984653834866381
5fb6ed2116919c000a99249e,1.0,1.0,1.0,1.0
5fb91837b8c8756d924f7351,1.0,1.0,1.0,1.0
5fbeef08fae48b16613fbe94,1.0,1.0,1.0,1.0
5fc64e35746dd626bb337f76,1.0,1.0,1.0,1.0
5fc7efbee5390f0b42e30f22,1.0,0.8817375208021835,1.0,1.0
5fc86c1b2df6ff1ff7a51ea5,1.0,1.0,1.0,1.0
5fcb705d9b31048d04ac0a8a,1.0,1.0,1.0,1.0
5fd761f02e24f003c7dbc814,1.0,1.0,1.0,1.0
5fecb4e73e41f76583b6023a,1.0,1.0,1.0,1.0
5fedf2023cc53c06d3406a14,1.0,1.0,1.0,1.0
5ffb3cdfa301645772b03b49,1.0,1.0,1.0,1.0
600090cc2864f714e71d0e45,1.0,1.0,1.0,1.0
60042af01e4c4b52c5ee0c01,1.0,1.0,1.0,1.0
600a9ab59e9b701db49fbec1,1.0,1.0,1.0,1.0
600ec679c144277505d6428d,1.0,1.0,0.9211889593760899,1.0
60142d5718e5943b09fd9298,1.0,0.9211889593760899,1.0,1.0
601859370b15830bb219db7a,1.0,1.0,1.0,0.9282041841382261
6023df50d5c2d7069115de3f,1.0,1.0,1.0,1.0
60358e8f4cf36d6725a603dd,1.0,1.0,1.0,1.0
603691e060f42aaf3b034a94,1.0,1.0,1.0,1.0
603bf563c71a1c8ca72cbbac,1.0,1.0,1.0,1.0
603c11e7db9042987c7180be,1.0,1.0,0.8817375208021835,0.9301569704230421
6040a6019923db2cb26b04e0,1.0,1.0,1.0,0.8394596752330161
604258da4004870ebf00822d,1.0,1.0,1.0,1.0
604b859f965723dde6768f6c,1.0,1.0,1.0,1.0
604e2e30b9ef1f91e2e6a67a,1.0,1.0,1.0,1.0
6052554f2d140e57270e22f9,1.0,1.0,0.9282041841382261,1.0
605260141614ee63870d2394,1.0,1.0,1.0,1.0
6055511b69c5e470713c8717,1.0,1.0,1.0,1.0
6055b240728724a27d38b40a,1.0,1.0,1.0,1.0
605b2e99ac3c7259bbbefc2f,1.0,1.0,1.0,1.0
606098b34aa547f1cb645083,1.0,1.0,0.8885443574849294,1.0
6063738895dfdf467955017c,1.0,1.0,1.0,1.0
60649bf146ce5a76f4bef1ce,1.0,1.0,1.0,1.0
6065ba36add2074fed28d812,1.0,1.0,1.0,1.0
606a3cb8f0138d1b0a789c2b,1.0,1.0,1.0,1.0
607728dc0b4f8590b94ae57c,1.0,1.0,1.0,1.0
6079b2d809f2f241470e821f,1.0,1.0,1.0,0.8960249510179927
607dc10ae5bc5c8b32b18e9a,1.0,1.0,1.0,1.0
6081db2a9344bdf3d4413d45,1.0,0.8651600275073517,1.0,1.0
